Time,X,Y,Z,A,B,C,S,T
0,763.349976,-20.966,187.292007,-87.580002,0.924,174.597,2,10
0.012,763.348328,-20.960939,187.312012,-87.580444,0.924025,174.597229,2,10
0.024,763.341797,-20.940668,187.392044,-87.582207,0.92413,174.598145,2,10
0.036,763.327148,-20.89497,187.572174,-87.586182,0.924379,174.600204,2,10
0.048,763.301392,-20.813557,187.892502,-87.593246,0.924848,174.603867,2,10
0.06,763.261475,-20.6861,188.393127,-87.604286,0.925618,174.609604,2,10
0.072,763.204468,-20.502291,189.114227,-87.620193,0.926767,174.617874,2,10
0.084,763.127258,-20.251917,190.095886,-87.641846,0.928357,174.629135,2,10
0.096,763.02655,-19.924974,191.378113,-87.670128,0.93042,174.643845,2,10
0.108,762.900635,-19.516628,192.980911,-87.705475,0.932946,174.662216,2,10
0.12,762.74939,-19.02704,194.904251,-87.747887,0.935908,174.684235,2,10
0.132,762.572937,-18.456367,197.148117,-87.797356,0.939282,174.709915,2,10
0.144,762.371094,-17.804737,199.712524,-87.853889,0.943045,174.739227,2,10
0.156,762.143921,-17.072256,202.597443,-87.917473,0.94718,174.772171,2,10
0.168,761.891418,-16.258993,205.802856,-87.988113,0.951675,174.808762,2,10
0.18,761.613586,-15.364994,209.328751,-88.065811,0.956521,174.848969,2,10
0.192,761.310364,-14.390277,213.175079,-88.150566,0.961714,174.892807,2,10
0.204,760.981873,-13.33484,217.341843,-88.242378,0.967252,174.940277,2,10
0.216,760.627991,-12.198664,221.828979,-88.34124,0.973137,174.991364,2,10
0.228,760.248779,-10.981722,226.636459,-88.447159,0.97937,175.046082,2,10
0.24,759.844299,-9.683979,231.764221,-88.560135,0.985955,175.104431,2,10
0.252,759.414429,-8.305399,237.212219,-88.680168,0.992895,175.166382,2,10
0.264,758.959351,-6.845942,242.980377,-88.807251,1.000195,175.231964,2,10
0.276,758.478943,-5.305572,249.068634,-88.941391,1.007856,175.301163,2,10
0.288,757.973206,-3.684255,255.476883,-89.082581,1.015882,175.373978,2,10
0.3,757.442261,-1.981959,262.205048,-89.230827,1.024274,175.450409,2,10
0.312,756.885986,-0.198656,269.253052,-89.386124,1.033034,175.530441,2,10
0.324,756.304504,1.665678,276.620697,-89.548477,1.042162,175.61409,2,10
0.336,755.697754,3.611067,284.307953,-89.717888,1.051658,175.70134,2,10
0.348,755.065796,5.63753,292.314606,-89.894341,1.061521,175.792175,2,10
0.36,754.40863,7.745041,300.640411,-90.077843,1.071749,175.886627,2,11
0.372,753.72699,9.921695,309.239471,-90.267395,1.082234,175.984146,2,11
0.384,753.022888,12.146438,318.03064,-90.46122,1.092809,176.083817,2,11
0.396,752.299561,14.398506,326.933319,-90.657555,1.103343,176.184723,2,11
0.408,751.562012,16.65745,335.867523,-90.854652,1.113738,176.285965,2,11
0.42,750.817017,18.903128,344.753784,-91.050735,1.123928,176.386658,2,11
0.432,750.072876,21.115702,353.513031,-91.244064,1.133867,176.485886,2,11
0.444,749.339783,23.275602,362.066528,-91.432877,1.143527,176.582764,2,11
0.456,748.628967,25.363516,370.335815,-91.615417,1.152886,176.676392,2,11
0.468,747.945557,27.370947,378.286346,-91.790916,1.161929,176.766403,2,11
0.48,747.289612,29.297834,385.91806,-91.959373,1.170644,176.852768,2,11
0.492,746.661133,31.144135,393.230835,-92.120781,1.179025,176.935501,2,11
